title,AI,Disease Identificaiton,Early Season Weed,Edge Computing,Image Processing,Precision Agriculture,Robotics,UAV,Weed Control
Fernandez-Quintanilla2018,1,0,0,0,1,0,0,1,1
wang2019review,1,0,0,0,1,1,0,0,1
Li,1,0,0,0,0,0,0,1,1
Young2018a,0,0,0,0,0,1,0,0,1
timmermann2003economic,0,0,0,0,0,0,0,0,1
dyrmann2017roboweedsupport,0,0,0,0,0,0,1,0,1
johnsongiant,0,0,0,0,0,0,0,0,1
grichar2009effect,0,0,0,0,0,0,0,0,1
travlos2011corn,0,0,1,0,0,0,0,0,0
bayerGiantRag,0,0,0,0,0,0,0,0,1
lopez2011weed,0,0,0,0,1,1,0,0,1
hussain2018mechanical,0,0,0,0,0,0,0,0,1
tona2018profitability,0,0,0,0,0,1,0,0,0
ahmad2018visual,1,0,0,0,1,1,0,0,1
Jha2019,1,0,0,0,0,0,0,0,0
Soltani2016,0,0,0,0,0,0,0,0,1
Soltani,0,0,0,0,0,0,0,0,1
Hunter2020,0,0,0,0,0,1,0,1,0
Yu2020,1,0,0,0,0,1,0,0,1
Sapkota2020,0,0,0,0,1,1,0,1,1
Ampatzidis2019,1,0,0,0,0,1,0,1,0
Ji2021,1,0,0,0,0,0,0,0,0
Cheng2019,1,1,0,0,0,0,0,0,0
Fue2018,1,0,0,0,0,0,0,0,0
Cruz2017,1,1,0,0,0,0,0,0,0
Kumar2020,0,0,0,0,0,0,0,0,1
sylvester2018agriculture,0,0,0,0,0,1,0,1,0
OGrady2019,1,0,0,1,0,1,0,0,0
Dokic2020,1,0,0,0,0,1,0,1,0
Cruz2017a,1,1,0,0,0,0,0,0,0
Su2020,1,0,0,0,0,0,0,0,1
Borra-Serrano2015,0,0,1,0,0,1,0,1,1
Singh2020,1,0,0,0,0,1,0,1,1
Lopez-Granados2016,0,0,1,0,1,0,0,1,0
Louargant2018,0,0,1,0,1,1,0,0,1
Fue2021,1,0,0,1,0,0,0,0,0
Fennimore2019,1,0,0,0,0,0,1,0,1
westwood2018weed,0,0,0,0,0,1,0,0,1
Huang2018,0,0,0,0,1,1,0,1,0
Radoglou-Grammatikis2020,0,0,0,0,0,1,0,1,0
